1,South Kristintown,Philippines,North Dakota,55372,"Flores, Carroll and Sanders",-151.9956620000,1.9275390000
2,Trevorland,Comoros,New Mexico,94768,Johnson and Sons,-140.2081990000,2.5722805000
3,Port Andrewview,Uzbekistan,Wyoming,96012,Cobb PLC,-86.2246730000,-69.4156535000
4,South Christopher,United Kingdom,Virginia,26132,"Cisneros, George and Martin",37.4795240000,2.4515955000
5,New Robert,Hungary,Oklahoma,93908,Brewer Ltd,106.0168440000,-41.1658965000
6,North Douglashaven,Central African Republic,Oregon,76464,Murphy-Costa,-95.0434770000,-28.8151005000
7,Colleenfort,French Polynesia,Wisconsin,12358,"Diaz, Wong and Mitchell",-143.0806010000,-67.5841725000
8,Andersonberg,Faroe Islands,Louisiana,69527,Casey PLC,-84.0137300000,36.2308980000
9,New Gregoryport,Cambodia,Minnesota,32113,Lam LLC,60.9502090000,-40.8570975000
10,South Toddfurt,Dominica,Nebraska,62558,Newton PLC,-106.6324960000,42.9192520000
11,Port Patrick,Cuba,Hawaii,55869,West Ltd,175.9430660000,-48.8448435000
12,Harrisview,Serbia,Hawaii,06639,Rodriguez-Jones,119.7873240000,-34.5883630000
13,South Raymondshire,Zimbabwe,California,18608,"Rangel, Harvey and Romero",2.0822820000,-65.0815690000
14,Christopherside,Germany,Virginia,46712,Hall-Simmons,129.1175670000,80.0658815000
15,West Ronald,Hungary,Pennsylvania,12372,Watkins LLC,41.0585530000,59.0419045000
16,Youngbury,Ecuador,Maryland,34238,Gonzalez-Guerra,-62.3580550000,83.7342470000
17,South Jeremymouth,Malaysia,Maryland,66184,Richards-Anderson,67.6336080000,54.9873970000
18,Brianport,Nepal,Alabama,23753,"Ward, Murphy and Mooney",-97.1393310000,-22.9337825000
19,East Robin,Puerto Rico,California,40382,Weaver Inc,-146.9687410000,50.1594210000
20,North Travis,Sudan,North Carolina,82630,Hurley-Huynh,63.8572420000,-7.3759650000
21,Lake Jose,Venezuela,Hawaii,64189,Lewis-Powell,118.3689370000,-81.5234000000
22,West Samueltown,Saint Vincent and the Grenadines,Texas,71460,"Villa, White and Davis",173.6478650000,-40.4372400000
23,Stevensonside,Nicaragua,Maine,45258,Collier-Martinez,113.7024610000,32.2088530000
24,Richardsonshire,Latvia,Iowa,91013,Charles and Sons,77.0647810000,-77.5949370000
25,East Beckystad,Senegal,New Jersey,17761,Carter-Nguyen,-153.8309430000,18.0403550000
26,Lake Alyssa,Central African Republic,North Dakota,32885,Allen LLC,-7.2147920000,63.3223525000
27,Port Annburgh,Sri Lanka,Kansas,02992,Watson-Valencia,75.4716210000,24.0198880000
28,South Melissa,Ireland,South Dakota,39612,Martinez-Garza,-84.3397990000,-56.5543110000
29,West Jonathanmouth,Svalbard & Jan Mayen Islands,North Carolina,50383,Gomez PLC,28.7217060000,70.0270865000
30,West Anthony,Togo,Rhode Island,25677,Weber-Owen,-139.1779960000,-65.8255350000
31,Mitchellchester,Colombia,Wyoming,73566,Walker Inc,176.6317830000,-41.6577200000
32,West Sarah,Japan,South Carolina,42591,Massey-Cox,-174.8903140000,-33.0687915000
33,Sextonchester,French Southern Territories,Nevada,53653,"Johnson, Reed and Obrien",-158.8290660000,5.9465755000
34,Port Christopherfurt,Romania,West Virginia,31904,"Griffith, Davis and Drake",90.5403570000,74.3019465000
35,Port Michael,Czech Republic,Colorado,85892,"Thornton, Nunez and Cooper",149.6458990000,80.5257405000
36,New Jesse,Belarus,Virginia,54352,"Barnett, Grant and Fernandez",-131.3741490000,-75.6040200000
37,Lake Patrick,Saint Lucia,New York,07345,Wilkinson Ltd,-24.6239890000,-7.1136885000
38,Amandastad,Guinea,Washington,74671,Green-Ali,8.5742360000,-12.6366385000
39,Katiebury,Svalbard & Jan Mayen Islands,Kansas,33679,"Hughes, Murphy and Johnson",-87.3211620000,70.1527525000
40,Sotoshire,Faroe Islands,Arkansas,67676,Santiago LLC,-133.8810820000,4.9271965000
41,South Elizabeth,Senegal,Montana,09435,"Cooley, Holloway and Cisneros",-122.7168010000,-33.7401695000
42,North Cory,Palestinian Territory,Nebraska,88194,Kelley Group,129.4487900000,84.8466315000
43,New Benjamin,Dominican Republic,Pennsylvania,37967,Gillespie-Martinez,-24.3517880000,14.1743485000
44,Katherineborough,Kenya,Mississippi,56191,Burke Ltd,-61.5719270000,44.6882550000
45,Sandraport,Namibia,New York,34060,Kim PLC,148.3621390000,-89.4583915000
46,South Michellebury,Luxembourg,Missouri,34692,"House, Ortiz and Schwartz",161.8471710000,-80.0128405000
47,Jenniferville,Niger,Minnesota,60179,Gould Ltd,-37.6665490000,20.0361310000
48,Port Julie,Costa Rica,Arkansas,38236,"Stewart, Garcia and Foster",-2.2146990000,47.5820835000
49,South Eric,Guam,Washington,71216,Simmons-Hughes,-61.9035670000,19.0584435000
50,Myersside,Serbia,Wisconsin,01518,Jones LLC,107.6680600000,-21.5539165000
